18:03:11.960 INFO  post-service [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 127 ms. Found 1 JPA repository interfaces.
18:03:12.149 INFO  post-service [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=8fc0b2e9-8ef8-3bd1-b6db-0b15b6646567
18:03:12.467 INFO  post-service [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
18:03:12.474 INFO  post-service [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
18:03:12.475 INFO  post-service [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
18:03:12.475 INFO  post-service [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
18:03:12.576 INFO  post-service [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
18:03:12.577 INFO  post-service [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1274 ms
18:03:12.705 INFO  post-service [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
18:03:12.767 INFO  post-service [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
18:03:12.770 INFO  post-service [main] org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
18:03:12.888 INFO  post-service [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
18:03:13.000 INFO  post-service [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
18:03:13.014 INFO  post-service [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
18:03:13.142 INFO  post-service [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@493968a9
18:03:13.143 INFO  post-service [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
18:03:13.194 INFO  post-service [main] org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.MySQLDialect, version: 8.0.40
18:03:13.367 INFO  post-service [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
